"Ephemeris for Chiron"
"","DATE","","","RIGHT ASCENS","","","DECLINATION","","Approx","Earth Dist","Observable","Constellation"
"Year","Month","Day","hour","min","sec","deg","min","sec","Mag.","AU","",""
"2020","01","01","00","01","07","+03","18","24","18.9","18.9450","12:20 until 15:53","Pisces"
"2020","01","02","00","01","12","+03","18","37","18.9","18.9623","12:20 until 15:49","Pisces"
"2020","01","03","00","01","16","+03","18","51","18.9","18.9795","12:21 until 15:45","Pisces"
"2020","01","04","00","01","21","+03","19","07","18.9","18.9967","12:22 until 15:41","Pisces"
"2020","01","05","00","01","25","+03","19","24","18.9","19.0138","12:22 until 15:37","Pisces"
"2020","01","06","00","01","30","+03","19","42","18.9","19.0309","12:23 until 15:33","Pisces"
"2020","01","07","00","01","36","+03","20","01","18.9","19.0478","12:24 until 15:30","Pisces"
"2020","01","08","00","01","41","+03","20","22","18.9","19.0647","12:24 until 15:26","Pisces"
"2020","01","09","00","01","46","+03","20","44","18.9","19.0816","12:25 until 15:22","Pisces"
"2020","01","10","00","01","52","+03","21","07","18.9","19.0983","12:26 until 15:18","Pisces"
"2020","01","11","00","01","58","+03","21","32","18.9","19.1150","12:26 until 15:14","Pisces"
"2020","01","12","00","02","04","+03","21","57","18.9","19.1316","12:27 until 15:10","Pisces"
"2020","01","13","00","02","10","+03","22","24","18.9","19.1480","12:28 until 15:07","Pisces"
"2020","01","14","00","02","17","+03","22","52","18.9","19.1644","12:29 until 15:03","Pisces"
"2020","01","15","00","02","23","+03","23","22","18.9","19.1807","12:29 until 14:59","Pisces"
"2020","01","16","00","02","30","+03","23","52","18.9","19.1968","12:30 until 14:55","Pisces"
"2020","01","17","00","02","37","+03","24","24","18.9","19.2129","12:31 until 14:51","Pisces"
"2020","01","18","00","02","44","+03","24","57","18.9","19.2288","12:31 until 14:48","Pisces"
"2020","01","19","00","02","51","+03","25","32","18.9","19.2446","12:32 until 14:44","Pisces"
"2020","01","20","00","02","59","+03","26","07","18.9","19.2603","12:33 until 14:40","Pisces"
"2020","01","21","00","03","07","+03","26","43","18.9","19.2758","12:34 until 14:36","Pisces"
"2020","01","22","00","03","14","+03","27","21","18.9","19.2912","12:34 until 14:32","Pisces"
"2020","01","23","00","03","22","+03","28","00","18.9","19.3065","12:35 until 14:29","Pisces"
"2020","01","24","00","03","30","+03","28","40","18.9","19.3216","12:36 until 14:25","Pisces"
"2020","01","25","00","03","39","+03","29","21","18.9","19.3366","12:36 until 14:21","Pisces"
"2020","01","26","00","03","47","+03","30","03","18.9","19.3514","12:37 until 14:17","Pisces"
"2020","01","27","00","03","56","+03","30","47","18.9","19.3660","12:38 until 14:14","Pisces"
"2020","01","28","00","04","04","+03","31","31","18.9","19.3805","12:39 until 14:10","Pisces"
"2020","01","29","00","04","13","+03","32","17","18.9","19.3949","12:39 until 14:06","Pisces"
"2020","01","30","00","04","22","+03","33","03","18.9","19.4090","12:40 until 14:02","Pisces"
"2020","01","31","00","04","31","+03","33","51","18.9","19.4230","12:41 until 13:59","Pisces"
"2020","02","01","00","04","41","+03","34","40","18.9","19.4368","12:41 until 13:55","Pisces"
"2020","02","02","00","04","50","+03","35","29","18.9","19.4504","12:42 until 13:51","Pisces"
"2020","02","03","00","05","00","+03","36","20","18.9","19.4638","12:43 until 13:47","Pisces"
"2020","02","04","00","05","09","+03","37","12","18.9","19.4770","12:43 until 13:44","Pisces"
"2020","02","05","00","05","19","+03","38","04","18.9","19.4901","12:44 until 13:40","Pisces"
"2020","02","06","00","05","29","+03","38","58","18.9","19.5029","12:45 until 13:36","Pisces"
"2020","02","07","00","05","39","+03","39","53","18.9","19.5156","12:45 until 13:32","Pisces"
"2020","02","08","00","05","50","+03","40","48","18.9","19.5280","12:46 until 13:29","Pisces"
"2020","02","09","00","06","00","+03","41","45","18.9","19.5403","12:47 until 13:25","Pisces"
"2020","02","10","00","06","10","+03","42","42","18.9","19.5523","12:47 until 13:21","Pisces"
"2020","02","11","00","06","21","+03","43","40","18.9","19.5641","12:48 until 13:17","Pisces"
"2020","02","12","00","06","32","+03","44","39","18.9","19.5757","12:49 until 13:14","Pisces"
"2020","02","13","00","06","42","+03","45","39","18.9","19.5871","12:49 until 13:10","Pisces"
"2020","02","14","00","06","53","+03","46","40","18.9","19.5983","12:50 until 13:06","Pisces"
"2020","02","15","00","07","04","+03","47","41","18.9","19.6093","12:51 until 13:03","Pisces"
"2020","02","16","00","07","15","+03","48","44","18.9","19.6200","12:51 until 12:59","Pisces"
"2020","02","17","00","07","27","+03","49","47","18.9","19.6305","12:52 until 12:55","Pisces"
"2020","02","18","00","07","38","+03","50","51","18.9","19.6408","Not observable","Pisces"
"2020","02","19","00","07","49","+03","51","56","18.9","19.6508","Not observable","Pisces"
"2020","02","20","00","08","01","+03","53","01","18.9","19.6606","Not observable","Pisces"
"2020","02","21","00","08","13","+03","54","07","18.9","19.6701","Not observable","Pisces"
"2020","02","22","00","08","24","+03","55","14","18.9","19.6795","Not observable","Pisces"
"2020","02","23","00","08","36","+03","56","22","18.9","19.6885","Not observable","Pisces"
"2020","02","24","00","08","48","+03","57","30","18.9","19.6974","Not observable","Pisces"
"2020","02","25","00","09","00","+03","58","39","18.9","19.7059","Not observable","Pisces"
"2020","02","26","00","09","12","+03","59","49","18.9","19.7143","Not observable","Pisces"
"2020","02","27","00","09","24","+04","00","59","18.9","19.7223","Not observable","Pisces"
"2020","02","28","00","09","36","+04","02","10","18.9","19.7301","Not observable","Pisces"
"2020","02","29","00","09","48","+04","03","21","18.9","19.7377","Not observable","Pisces"
"2020","03","01","00","10","01","+04","04","34","18.9","19.7450","Not observable","Pisces"
"2020","03","02","00","10","13","+04","05","46","18.9","19.7520","Not observable","Pisces"
"2020","03","03","00","10","25","+04","06","59","18.9","19.7588","Not observable","Pisces"
"2020","03","04","00","10","38","+04","08","13","18.9","19.7653","Not observable","Pisces"
"2020","03","05","00","10","51","+04","09","27","18.9","19.7716","Not observable","Pisces"
"2020","03","06","00","11","03","+04","10","42","18.9","19.7776","Not observable","Pisces"
"2020","03","07","00","11","16","+04","11","57","18.9","19.7833","Not observable","Pisces"
"2020","03","08","00","11","28","+04","13","12","18.9","19.7888","Not observable","Pisces"
"2020","03","09","00","11","41","+04","14","28","18.9","19.7939","Not observable","Pisces"
"2020","03","10","00","11","54","+04","15","45","18.9","19.7989","Not observable","Pisces"
"2020","03","11","00","12","07","+04","17","02","18.8","19.8035","Not observable","Pisces"
"2020","03","12","00","12","20","+04","18","19","18.8","19.8079","Not observable","Pisces"
"2020","03","13","00","12","33","+04","19","36","18.8","19.8120","Not observable","Pisces"
"2020","03","14","00","12","46","+04","20","54","18.8","19.8158","Not observable","Pisces"
"2020","03","15","00","12","58","+04","22","12","18.8","19.8194","Not observable","Pisces"
"2020","03","16","00","13","11","+04","23","31","18.8","19.8227","Not observable","Pisces"
"2020","03","17","00","13","24","+04","24","50","18.8","19.8257","Not observable","Pisces"
"2020","03","18","00","13","38","+04","26","09","18.8","19.8285","Not observable","Pisces"
"2020","03","19","00","13","51","+04","27","28","18.8","19.8309","Not observable","Pisces"
"2020","03","20","00","14","04","+04","28","48","18.8","19.8331","Not observable","Pisces"
"2020","03","21","00","14","17","+04","30","08","18.8","19.8350","Not observable","Pisces"
"2020","03","22","00","14","30","+04","31","28","18.8","19.8367","Not observable","Pisces"
"2020","03","23","00","14","43","+04","32","48","18.8","19.8380","Not observable","Pisces"
"2020","03","24","00","14","56","+04","34","08","18.8","19.8391","Not observable","Pisces"
"2020","03","25","00","15","09","+04","35","29","18.8","19.8399","Not observable","Pisces"
"2020","03","26","00","15","22","+04","36","50","18.8","19.8404","Not observable","Pisces"
"2020","03","27","00","15","35","+04","38","10","18.8","19.8406","Not observable","Pisces"
"2020","03","28","00","15","48","+04","39","31","18.8","19.8406","Not observable","Pisces"
"2020","03","29","00","16","01","+04","40","52","18.8","19.8403","Not observable","Pisces"
"2020","03","30","00","16","15","+04","42","13","18.8","19.8397","Not observable","Pisces"
"2020","03","31","00","16","28","+04","43","34","18.8","19.8388","Not observable","Pisces"
"2020","04","01","00","16","41","+04","44","56","18.8","19.8377","Not observable","Pisces"
"2020","04","02","00","16","54","+04","46","17","18.8","19.8362","Not observable","Pisces"
"2020","04","03","00","17","07","+04","47","38","18.8","19.8346","Not observable","Pisces"
"2020","04","04","00","17","20","+04","48","59","18.8","19.8326","Not observable","Pisces"
"2020","04","05","00","17","32","+04","50","20","18.8","19.8304","Not observable","Pisces"
"2020","04","06","00","17","45","+04","51","41","18.8","19.8278","Not observable","Pisces"
"2020","04","07","00","17","58","+04","53","01","18.8","19.8251","Not observable","Pisces"
"2020","04","08","00","18","11","+04","54","22","18.8","19.8220","Not observable","Pisces"
"2020","04","09","00","18","24","+04","55","43","18.8","19.8187","Not observable","Pisces"
"2020","04","10","00","18","37","+04","57","03","18.9","19.8151","Not observable","Pisces"
"2020","04","11","00","18","49","+04","58","23","18.9","19.8113","Not observable","Pisces"
"2020","04","12","00","19","02","+04","59","44","18.9","19.8072","Not observable","Pisces"
"2020","04","13","00","19","15","+05","01","03","18.9","19.8028","Not observable","Pisces"
"2020","04","14","00","19","27","+05","02","23","18.9","19.7982","Not observable","Pisces"
"2020","04","15","00","19","40","+05","03","43","18.9","19.7933","Not observable","Pisces"
"2020","04","16","00","19","52","+05","05","02","18.9","19.7881","Not observable","Pisces"
"2020","04","17","00","20","05","+05","06","21","18.9","19.7827","Not observable","Pisces"
"2020","04","18","00","20","17","+05","07","40","18.9","19.7770","Not observable","Pisces"
"2020","04","19","00","20","29","+05","08","58","18.9","19.7711","Not observable","Pisces"
"2020","04","20","00","20","41","+05","10","17","18.9","19.7649","Not observable","Pisces"
"2020","04","21","00","20","53","+05","11","35","18.9","19.7585","Not observable","Pisces"
"2020","04","22","00","21","06","+05","12","52","18.9","19.7518","Not observable","Pisces"
"2020","04","23","00","21","18","+05","14","09","18.9","19.7449","Not observable","Pisces"
"2020","04","24","00","21","29","+05","15","26","18.9","19.7377","Not observable","Pisces"
"2020","04","25","00","21","41","+05","16","43","18.9","19.7303","Not observable","Pisces"
"2020","04","26","00","21","53","+05","17","59","18.9","19.7226","Not observable","Pisces"
"2020","04","27","00","22","05","+05","19","14","18.9","19.7147","Not observable","Pisces"
"2020","04","28","00","22","16","+05","20","29","18.9","19.7065","Not observable","Pisces"
"2020","04","29","00","22","28","+05","21","44","18.9","19.6981","Not observable","Pisces"
"2020","04","30","00","22","39","+05","22","58","18.9","19.6895","Not observable","Pisces"
"2020","05","01","00","22","50","+05","24","12","18.9","19.6807","Not observable","Pisces"
"2020","05","02","00","23","02","+05","25","25","18.9","19.6716","Not observable","Pisces"
"2020","05","03","00","23","13","+05","26","38","18.9","19.6623","Not observable","Pisces"
"2020","05","04","00","23","24","+05","27","50","18.9","19.6528","Not observable","Pisces"
"2020","05","05","00","23","35","+05","29","01","18.9","19.6430","Not observable","Pisces"
"2020","05","06","00","23","45","+05","30","12","18.9","19.6331","Not observable","Pisces"
"2020","05","07","00","23","56","+05","31","23","18.9","19.6229","Not observable","Pisces"
"2020","05","08","00","24","07","+05","32","33","18.9","19.6125","Not observable","Pisces"
"2020","05","09","00","24","17","+05","33","42","18.9","19.6019","Not observable","Pisces"
"2020","05","10","00","24","28","+05","34","51","18.9","19.5911","Not observable","Pisces"
"2020","05","11","00","24","38","+05","35","59","18.9","19.5801","Not observable","Pisces"
"2020","05","12","00","24","48","+05","37","06","18.9","19.5689","Not observable","Pisces"
"2020","05","13","00","24","58","+05","38","13","18.9","19.5575","Not observable","Pisces"
"2020","05","14","00","25","08","+05","39","19","18.9","19.5459","Not observable","Pisces"
"2020","05","15","00","25","18","+05","40","24","18.9","19.5341","Not observable","Pisces"
"2020","05","16","00","25","27","+05","41","28","18.9","19.5222","Not observable","Pisces"
"2020","05","17","00","25","37","+05","42","32","18.9","19.5100","Not observable","Pisces"
"2020","05","18","00","25","46","+05","43","35","18.9","19.4976","Not observable","Pisces"
"2020","05","19","00","25","55","+05","44","38","18.9","19.4851","22:07 until 22:08","Pisces"
"2020","05","20","00","26","05","+05","45","39","18.9","19.4724","22:03 until 22:08","Pisces"
"2020","05","21","00","26","13","+05","46","40","19.0","19.4595","21:59 until 22:07","Pisces"
"2020","05","22","00","26","22","+05","47","40","19.0","19.4465","21:55 until 22:07","Pisces"
"2020","05","23","00","26","31","+05","48","39","19.0","19.4332","21:51 until 22:06","Pisces"
"2020","05","24","00","26","40","+05","49","38","19.0","19.4198","21:48 until 22:06","Pisces"
"2020","05","25","00","26","48","+05","50","35","19.0","19.4063","21:44 until 22:05","Pisces"
"2020","05","26","00","26","56","+05","51","32","19.0","19.3926","21:40 until 22:05","Pisces"
"2020","05","27","00","27","04","+05","52","28","19.0","19.3788","21:36 until 22:04","Pisces"
"2020","05","28","00","27","12","+05","53","23","19.0","19.3648","21:32 until 22:04","Pisces"
"2020","05","29","00","27","20","+05","54","17","19.0","19.3506","21:28 until 22:04","Pisces"
"2020","05","30","00","27","28","+05","55","10","19.0","19.3363","21:25 until 22:03","Pisces"
"2020","05","31","00","27","35","+05","56","02","19.0","19.3219","21:21 until 22:03","Pisces"
"2020","06","01","00","27","43","+05","56","53","19.0","19.3074","21:17 until 22:03","Pisces"
"2020","06","02","00","27","50","+05","57","44","19.0","19.2927","21:13 until 22:02","Pisces"
"2020","06","03","00","27","57","+05","58","33","19.0","19.2779","21:09 until 22:02","Pisces"
"2020","06","04","00","28","04","+05","59","21","19.0","19.2630","21:05 until 22:02","Pisces"
"2020","06","05","00","28","10","+06","00","09","19.0","19.2479","21:01 until 22:02","Pisces"
"2020","06","06","00","28","17","+06","00","55","19.0","19.2328","20:58 until 22:01","Pisces"
"2020","06","07","00","28","23","+06","01","41","19.0","19.2175","20:54 until 22:01","Pisces"
"2020","06","08","00","28","30","+06","02","25","19.0","19.2021","20:50 until 22:01","Pisces"
"2020","06","09","00","28","36","+06","03","09","19.0","19.1867","20:46 until 22:01","Pisces"
"2020","06","10","00","28","42","+06","03","51","19.0","19.1711","20:42 until 22:01","Pisces"
"2020","06","11","00","28","47","+06","04","32","18.9","19.1555","20:38 until 22:01","Pisces"
"2020","06","12","00","28","53","+06","05","13","18.9","19.1397","20:34 until 22:01","Pisces"
"2020","06","13","00","28","58","+06","05","52","18.9","19.1239","20:31 until 22:01","Pisces"
"2020","06","14","00","29","03","+06","06","30","18.9","19.1080","20:27 until 22:01","Pisces"
"2020","06","15","00","29","08","+06","07","07","18.9","19.0920","20:23 until 22:01","Pisces"
"2020","06","16","00","29","13","+06","07","44","18.9","19.0759","20:19 until 22:01","Pisces"
"2020","06","17","00","29","18","+06","08","19","18.9","19.0598","20:15 until 22:01","Pisces"
"2020","06","18","00","29","22","+06","08","52","18.9","19.0436","20:11 until 22:01","Pisces"
"2020","06","19","00","29","27","+06","09","25","18.9","19.0273","20:07 until 22:02","Pisces"
"2020","06","20","00","29","31","+06","09","57","18.9","19.0110","20:04 until 22:02","Pisces"
"2020","06","21","00","29","35","+06","10","27","18.9","18.9946","20:00 until 22:02","Pisces"
"2020","06","22","00","29","39","+06","10","57","18.9","18.9782","19:56 until 22:02","Pisces"
"2020","06","23","00","29","42","+06","11","25","18.9","18.9617","19:52 until 22:02","Pisces"
"2020","06","24","00","29","46","+06","11","52","18.9","18.9452","19:48 until 22:03","Pisces"
"2020","06","25","00","29","49","+06","12","18","18.9","18.9287","19:44 until 22:03","Pisces"
"2020","06","26","00","29","52","+06","12","42","18.9","18.9122","19:40 until 22:03","Pisces"
"2020","06","27","00","29","55","+06","13","06","18.9","18.8956","19:36 until 22:04","Pisces"
"2020","06","28","00","29","57","+06","13","28","18.9","18.8790","19:32 until 22:04","Pisces"
"2020","06","29","00","30","00","+06","13","49","18.9","18.8624","19:28 until 22:04","Pisces"
"2020","06","30","00","30","02","+06","14","09","18.9","18.8458","19:25 until 22:05","Pisces"
"2020","07","01","00","30","04","+06","14","28","18.9","18.8292","19:21 until 22:05","Pisces"
"2020","07","02","00","30","06","+06","14","45","18.9","18.8126","19:17 until 22:06","Pisces"
"2020","07","03","00","30","08","+06","15","02","18.9","18.7960","19:13 until 22:06","Pisces"
"2020","07","04","00","30","09","+06","15","17","18.9","18.7794","19:09 until 22:06","Pisces"
