"Ephemeris for Chiron"
"","DATE","","","RIGHT ASCENS","","","DECLINATION","","Approx","Earth Dist","Observable","Constellation"
"Year","Month","Day","hour","min","sec","deg","min","sec","Mag.","AU","",""
"2018","01","01","23","34","26","+01","11","53","18.9","18.8646","12:20 until 15:19","Pisces"
"2018","01","02","23","34","32","+01","12","14","18.9","18.8816","12:21 until 15:16","Pisces"
"2018","01","03","23","34","38","+01","12","36","18.9","18.8985","12:21 until 15:12","Pisces"
"2018","01","04","23","34","44","+01","13","00","18.9","18.9153","12:22 until 15:08","Pisces"
"2018","01","05","23","34","50","+01","13","25","18.9","18.9320","12:23 until 15:04","Pisces"
"2018","01","06","23","34","56","+01","13","51","18.9","18.9487","12:23 until 15:00","Pisces"
"2018","01","07","23","35","03","+01","14","18","18.9","18.9652","12:24 until 14:57","Pisces"
"2018","01","08","23","35","10","+01","14","47","18.9","18.9816","12:25 until 14:53","Pisces"
"2018","01","09","23","35","17","+01","15","16","18.9","18.9979","12:25 until 14:49","Pisces"
"2018","01","10","23","35","24","+01","15","47","18.9","19.0141","12:26 until 14:45","Pisces"
"2018","01","11","23","35","32","+01","16","20","18.9","19.0302","12:27 until 14:41","Pisces"
"2018","01","12","23","35","39","+01","16","53","18.9","19.0461","12:28 until 14:38","Pisces"
"2018","01","13","23","35","47","+01","17","28","18.9","19.0620","12:28 until 14:34","Pisces"
"2018","01","14","23","35","55","+01","18","04","18.9","19.0776","12:29 until 14:30","Pisces"
"2018","01","15","23","36","03","+01","18","41","18.9","19.0932","12:30 until 14:26","Pisces"
"2018","01","16","23","36","11","+01","19","19","18.9","19.1086","12:30 until 14:22","Pisces"
"2018","01","17","23","36","19","+01","19","58","18.9","19.1238","12:31 until 14:19","Pisces"
"2018","01","18","23","36","28","+01","20","39","18.9","19.1389","12:32 until 14:15","Pisces"
"2018","01","19","23","36","37","+01","21","21","18.9","19.1539","12:33 until 14:11","Pisces"
"2018","01","20","23","36","45","+01","22","03","18.9","19.1686","12:33 until 14:07","Pisces"
"2018","01","21","23","36","54","+01","22","47","18.9","19.1833","12:34 until 14:04","Pisces"
"2018","01","22","23","37","03","+01","23","32","18.9","19.1977","12:35 until 14:00","Pisces"
"2018","01","23","23","37","13","+01","24","19","18.9","19.2120","12:35 until 13:56","Pisces"
"2018","01","24","23","37","22","+01","25","06","18.9","19.2261","12:36 until 13:52","Pisces"
"2018","01","25","23","37","32","+01","25","54","18.9","19.2400","12:37 until 13:49","Pisces"
"2018","01","26","23","37","41","+01","26","43","18.9","19.2537","12:38 until 13:45","Pisces"
"2018","01","27","23","37","51","+01","27","34","18.9","19.2672","12:38 until 13:41","Pisces"
"2018","01","28","23","38","01","+01","28","25","18.9","19.2806","12:39 until 13:37","Pisces"
"2018","01","29","23","38","11","+01","29","18","18.9","19.2937","12:40 until 13:34","Pisces"
"2018","01","30","23","38","21","+01","30","11","18.9","19.3067","12:40 until 13:30","Pisces"
"2018","01","31","23","38","32","+01","31","05","18.9","19.3194","12:41 until 13:26","Pisces"
"2018","02","01","23","38","42","+01","32","01","18.9","19.3320","12:42 until 13:23","Pisces"
"2018","02","02","23","38","53","+01","32","57","18.9","19.3443","12:42 until 13:19","Pisces"
"2018","02","03","23","39","04","+01","33","54","18.9","19.3565","12:43 until 13:15","Pisces"
"2018","02","04","23","39","14","+01","34","52","18.9","19.3684","12:44 until 13:11","Pisces"
"2018","02","05","23","39","25","+01","35","51","18.9","19.3801","12:44 until 13:08","Pisces"
"2018","02","06","23","39","36","+01","36","51","18.9","19.3916","12:45 until 13:04","Pisces"
"2018","02","07","23","39","47","+01","37","52","18.9","19.4029","12:46 until 13:00","Pisces"
"2018","02","08","23","39","59","+01","38","53","18.9","19.4139","12:46 until 12:57","Pisces"
"2018","02","09","23","40","10","+01","39","56","18.9","19.4247","12:47 until 12:53","Pisces"
"2018","02","10","23","40","22","+01","40","59","18.9","19.4353","12:48 until 12:49","Pisces"
"2018","02","11","23","40","33","+01","42","03","18.9","19.4457","Not observable","Pisces"
"2018","02","12","23","40","45","+01","43","08","18.9","19.4558","Not observable","Pisces"
"2018","02","13","23","40","56","+01","44","14","18.9","19.4657","Not observable","Pisces"
"2018","02","14","23","41","08","+01","45","20","18.9","19.4753","Not observable","Pisces"
"2018","02","15","23","41","20","+01","46","28","18.9","19.4847","Not observable","Pisces"
"2018","02","16","23","41","32","+01","47","36","18.9","19.4939","Not observable","Pisces"
"2018","02","17","23","41","44","+01","48","44","18.9","19.5028","Not observable","Pisces"
"2018","02","18","23","41","56","+01","49","54","18.9","19.5114","Not observable","Pisces"
"2018","02","19","23","42","09","+01","51","04","18.9","19.5198","Not observable","Pisces"
"2018","02","20","23","42","21","+01","52","15","18.8","19.5280","Not observable","Pisces"
"2018","02","21","23","42","33","+01","53","26","18.8","19.5359","Not observable","Pisces"
"2018","02","22","23","42","46","+01","54","38","18.8","19.5435","Not observable","Pisces"
"2018","02","23","23","42","58","+01","55","51","18.8","19.5509","Not observable","Pisces"
"2018","02","24","23","43","11","+01","57","04","18.8","19.5580","Not observable","Pisces"
"2018","02","25","23","43","24","+01","58","18","18.8","19.5648","Not observable","Pisces"
"2018","02","26","23","43","36","+01","59","32","18.8","19.5714","Not observable","Pisces"
"2018","02","27","23","43","49","+02","00","47","18.8","19.5777","Not observable","Pisces"
"2018","02","28","23","44","02","+02","02","02","18.8","19.5838","Not observable","Pisces"
"2018","03","01","23","44","15","+02","03","18","18.8","19.5895","Not observable","Pisces"
"2018","03","02","23","44","27","+02","04","34","18.8","19.5951","Not observable","Pisces"
"2018","03","03","23","44","40","+02","05","51","18.8","19.6003","Not observable","Pisces"
"2018","03","04","23","44","53","+02","07","09","18.8","19.6053","Not observable","Pisces"
"2018","03","05","23","45","06","+02","08","26","18.8","19.6100","Not observable","Pisces"
"2018","03","06","23","45","19","+02","09","44","18.8","19.6145","Not observable","Pisces"
"2018","03","07","23","45","32","+02","11","03","18.8","19.6186","Not observable","Pisces"
"2018","03","08","23","45","46","+02","12","22","18.8","19.6225","Not observable","Pisces"
"2018","03","09","23","45","59","+02","13","41","18.8","19.6261","Not observable","Pisces"
"2018","03","10","23","46","12","+02","15","01","18.8","19.6295","Not observable","Pisces"
"2018","03","11","23","46","25","+02","16","21","18.8","19.6326","Not observable","Pisces"
"2018","03","12","23","46","38","+02","17","41","18.8","19.6353","Not observable","Pisces"
"2018","03","13","23","46","51","+02","19","02","18.8","19.6379","Not observable","Pisces"
"2018","03","14","23","47","05","+02","20","23","18.8","19.6401","Not observable","Pisces"
"2018","03","15","23","47","18","+02","21","44","18.7","19.6421","Not observable","Pisces"
"2018","03","16","23","47","31","+02","23","05","18.7","19.6437","Not observable","Pisces"
"2018","03","17","23","47","44","+02","24","27","18.7","19.6451","Not observable","Pisces"
"2018","03","18","23","47","58","+02","25","48","18.7","19.6463","Not observable","Pisces"
"2018","03","19","23","48","11","+02","27","10","18.7","19.6471","Not observable","Pisces"
"2018","03","20","23","48","24","+02","28","32","18.7","19.6477","Not observable","Pisces"
"2018","03","21","23","48","37","+02","29","55","18.7","19.6479","Not observable","Pisces"
