"Ephemeris for Chiron"
"","DATE","","","RIGHT ASCENS","","","DECLINATION","","Approx","Earth Dist","Observable","Constellation"
"Year","Month","Day","hour","min","sec","deg","min","sec","Mag.","AU","",""
"2019","01","01","23","47","49","+02","15","40","18.9","18.9257","12:20 until 15:36","Pisces"
"2019","01","02","23","47","54","+02","15","57","18.9","18.9428","12:21 until 15:32","Pisces"
"2019","01","03","23","47","59","+02","16","16","18.9","18.9600","12:21 until 15:28","Pisces"
"2019","01","04","23","48","05","+02","16","35","18.9","18.9770","12:22 until 15:25","Pisces"
"2019","01","05","23","48","10","+02","16","56","18.9","18.9940","12:23 until 15:21","Pisces"
"2019","01","06","23","48","16","+02","17","18","18.9","19.0109","12:23 until 15:17","Pisces"
"2019","01","07","23","48","22","+02","17","41","18.9","19.0277","12:24 until 15:13","Pisces"
"2019","01","08","23","48","28","+02","18","06","18.9","19.0444","12:25 until 15:09","Pisces"
"2019","01","09","23","48","34","+02","18","32","18.9","19.0610","12:25 until 15:05","Pisces"
"2019","01","10","23","48","41","+02","18","59","18.9","19.0775","12:26 until 15:02","Pisces"
"2019","01","11","23","48","47","+02","19","27","18.9","19.0939","12:27 until 14:58","Pisces"
"2019","01","12","23","48","54","+02","19","57","18.9","19.1102","12:27 until 14:54","Pisces"
"2019","01","13","23","49","01","+02","20","28","18.9","19.1264","12:28 until 14:50","Pisces"
"2019","01","14","23","49","08","+02","21","00","18.9","19.1424","12:29 until 14:46","Pisces"
"2019","01","15","23","49","16","+02","21","33","18.9","19.1584","12:29 until 14:43","Pisces"
"2019","01","16","23","49","23","+02","22","08","18.9","19.1742","12:30 until 14:39","Pisces"
"2019","01","17","23","49","31","+02","22","43","18.9","19.1898","12:31 until 14:35","Pisces"
"2019","01","18","23","49","39","+02","23","20","18.9","19.2054","12:32 until 14:31","Pisces"
"2019","01","19","23","49","47","+02","23","58","18.9","19.2208","12:32 until 14:28","Pisces"
"2019","01","20","23","49","55","+02","24","37","18.9","19.2360","12:33 until 14:24","Pisces"
"2019","01","21","23","50","03","+02","25","18","18.9","19.2511","12:34 until 14:20","Pisces"
"2019","01","22","23","50","11","+02","25","59","18.9","19.2661","12:34 until 14:16","Pisces"
"2019","01","23","23","50","20","+02","26","42","18.9","19.2809","12:35 until 14:12","Pisces"
"2019","01","24","23","50","29","+02","27","25","18.9","19.2955","12:36 until 14:09","Pisces"
"2019","01","25","23","50","38","+02","28","10","18.9","19.3100","12:37 until 14:05","Pisces"
"2019","01","26","23","50","47","+02","28","56","18.9","19.3243","12:37 until 14:01","Pisces"
"2019","01","27","23","50","56","+02","29","43","18.9","19.3384","12:38 until 13:57","Pisces"
"2019","01","28","23","51","05","+02","30","30","18.9","19.3523","12:39 until 13:54","Pisces"
"2019","01","29","23","51","15","+02","31","19","18.9","19.3661","12:39 until 13:50","Pisces"
"2019","01","30","23","51","24","+02","32","09","18.9","19.3797","12:40 until 13:46","Pisces"
"2019","01","31","23","51","34","+02","33","00","18.9","19.3931","12:41 until 13:42","Pisces"
"2019","02","01","23","51","44","+02","33","52","18.9","19.4063","12:42 until 13:39","Pisces"
"2019","02","02","23","51","54","+02","34","45","18.9","19.4194","12:42 until 13:35","Pisces"
"2019","02","03","23","52","04","+02","35","39","18.9","19.4322","12:43 until 13:31","Pisces"
"2019","02","04","23","52","14","+02","36","34","18.9","19.4448","12:44 until 13:28","Pisces"
"2019","02","05","23","52","25","+02","37","30","18.9","19.4572","12:44 until 13:24","Pisces"
"2019","02","06","23","52","35","+02","38","27","18.9","19.4694","12:45 until 13:20","Pisces"
"2019","02","07","23","52","46","+02","39","25","18.9","19.4814","12:46 until 13:16","Pisces"
"2019","02","08","23","52","57","+02","40","23","18.9","19.4932","12:46 until 13:13","Pisces"
"2019","02","09","23","53","07","+02","41","23","18.9","19.5047","12:47 until 13:09","Pisces"
"2019","02","10","23","53","18","+02","42","23","18.9","19.5161","12:48 until 13:05","Pisces"
"2019","02","11","23","53","29","+02","43","25","18.9","19.5272","12:48 until 13:02","Pisces"
"2019","02","12","23","53","41","+02","44","27","18.9","19.5381","12:49 until 12:58","Pisces"
"2019","02","13","23","53","52","+02","45","29","18.9","19.5487","12:50 until 12:54","Pisces"
"2019","02","14","23","54","03","+02","46","33","18.9","19.5591","12:50 until 12:50","Pisces"
"2019","02","15","23","54","15","+02","47","38","18.9","19.5693","Not observable","Pisces"
"2019","02","16","23","54","26","+02","48","43","18.9","19.5793","Not observable","Pisces"
"2019","02","17","23","54","38","+02","49","49","18.9","19.5890","Not observable","Pisces"
"2019","02","18","23","54","50","+02","50","56","18.9","19.5985","Not observable","Pisces"
"2019","02","19","23","55","01","+02","52","03","18.9","19.6077","Not observable","Pisces"
"2019","02","20","23","55","13","+02","53","11","18.9","19.6167","Not observable","Pisces"
