north_node,south_node
135.0489658,315.0489658
134.990729,314.990729
134.9449268,314.9449268
134.9152557,314.9152557
134.902655,314.902655
134.9054087,314.9054087
134.9196549,314.9196549
134.9401999,314.9401999
134.9615062,314.9615062
134.9787049,314.9787049
134.9884707,314.9884707
134.989574,314.989574
134.9829413,314.9829413
134.971188,314.971188
134.9577827,314.9577827
134.9459995,314.9459995
134.9380435,314.9380435
134.934514,314.934514
134.9345443,314.9345443
134.9363222,314.9363222
134.9378977,314.9378977
134.9379311,314.9379311
134.9361415,314.9361415
134.9333811,314.9333811
134.931329,314.931329
134.9319117,314.9319117
134.9366432,314.9366432
134.9460692,314.9460692
134.9594398,314.9594398
134.9746768,314.9746768
134.9886461,314.9886461
134.9976976,314.9976976
134.9983865,314.9983865
134.988258,314.988258
134.9665522,314.9665522
134.9346749,314.9346749
134.896279,314.896279
134.8568351,314.8568351
134.8226659,314.8226659
134.799567,314.799567
134.7913001,314.7913001
134.7983439,314.7983439
134.8173102,314.8173102
134.8413822,314.8413822
134.8615856,314.8615856
134.8688249,314.8688249
134.856052,314.856052
134.8200359,314.8200359
134.7622605,314.7622605
134.688731,314.688731
134.6087618,314.6087618
134.5330566,314.5330566
134.4715308,314.4715308
134.4313388,314.4313388
134.4154836,314.4154836
134.4222239,314.4222239
134.4453219,314.4453219
134.4750434,314.4750434
134.4997333,314.4997333
134.507734,314.507734
134.4893903,314.4893903
134.4388749,314.4388749
134.3555545,314.3555545
134.2445938,314.2445938
134.1165272,314.1165272
133.9856576,313.9856576
133.8674051,313.8674051
133.775044,313.775044
133.7165664,313.7165664
133.6925554,313.6925554
133.6956505,313.6956505
133.7118892,313.7118892
133.7236786,313.7236786
133.7136234,313.7136234
133.6683323,313.6683323
133.5813129,313.5813129
133.4543001,313.4543001
133.2968068,313.2968068
133.1240648,313.1240648
132.9538756,312.9538756
132.8031155,312.8031155
132.6846104,312.6846104
132.6049227,312.6049227
132.5633466,312.5633466
132.5521722,312.5521722
132.5580748,312.5580748
132.5643657,312.5643657
132.5537778,312.5537778
132.5114326,312.5114326
132.4276007,312.4276007
132.29982,312.29982
132.1339043,312.1339043
131.9434241,311.9434241
131.7474534,311.7474534
131.5668017,311.5668017
131.4194723,311.4194723
131.3164476,311.3164476
131.2589369,311.2589369
131.2379596,311.2379596
131.2363291,311.2363291
131.2325044,311.2325044
131.2053212,311.2053212
131.1384711,311.1384711
131.0237662,311.0237662
130.8625529,310.8625529
130.6651104,310.6651104
130.4483201,310.4483201
130.2322017,310.2322017
130.0360897,310.0360897
129.8752223,309.8752223
129.7583063,309.7583063
129.6863415,309.6863415
129.6527354,309.6527354
129.6445781,309.6445781
129.6448458,309.6448458
129.635236,309.635236
129.5992881,309.5992881
129.5253852,309.5253852
129.4091647,309.4091647
129.2548044,309.2548044
129.0746967,309.0746967
128.8872651,308.8872651
128.7131445,308.7131445
128.5705215,308.5705215
128.4708133,308.4708133
128.4158953,308.4158953
128.3977436,308.3977436
128.400469,308.400469
128.4041201,308.4041201
128.3891895,308.3891895
128.3407163,308.3407163
128.2511204,308.2511204
128.121302,308.121302
127.9599604,307.9599604
127.7814652,307.7814652
127.602865,307.602865
127.4407057,307.4407057
127.3082532,307.3082532
127.2135255,307.2135255
127.1583208,307.1583208
127.1382494,307.1382494
127.1436604,307.1436604
127.1612924,307.1612924
127.1764458,307.1764458
127.1754318,307.1754318
127.1479906,307.1479906
127.089288,307.089288
127.0010547,307.0010547
126.8914931,306.8914931
126.7737648,306.7737648
126.66318,306.66318
126.5736433,306.5736433
126.5143604,306.5143604
126.4876936,306.4876936
126.4887736,306.4887736
126.5069653,306.5069653
126.5286381,306.5286381
126.5403972,306.5403972
126.531948,306.531948
126.4979735,306.4979735
126.438745,306.438745
126.3595418,306.3595418
126.2691764,306.2691764
126.1780491,306.1780491
126.0961745,306.0961745
126.0315412,306.0315412
125.9890123,305.9890123
125.9698351,305.9698351
125.9717257,305.9717257
125.9894504,305.9894504
126.015792,306.015792
126.0427719,306.0427719
126.0629757,306.0629757
126.0708094,306.0708094
126.0634848,306.0634848
126.0415144,306.0415144
126.0085494,306.0085494
125.9705301,305.9705301
