name_id,date,time,correct,displaced,first_condition,degree,degree_type,energy,conditionbody
1,2018-11-06,08:45:00,0.8333333333333334%,0.16666666666666666%,Venus,3,Applying,Positive,Moon
1,2018-11-16,08:25:00,0.3333333333333333%,0.6666666666666666%,Mars,1,Applying,Positive,Moon
4,2018-10-10,09:44:00,1%,0%,Mercury,0,Applying,Positive,Moon
4,2018-10-16,11:40:00,0.5%,0.5%,Pluto,1,Applying,Positive,Moon
4,2019-02-02,09:25:00,1%,0%,Saturn,1,Applying,Positive,Moon
4,2019-02-07,10:05:00,0.5%,0.5%,Neptune,2,Applying,Positive,Moon
4,2019-03-29,09:45:00,1%,0%,Saturn,0,Applying,Positive,Moon
4,2019-03-29,09:45:00,1%,0%,Pluto,3,Applying,Positive,Moon
4,2019-04-02,09:44:00,0.5%,0.5%,Venus,1,Applying,Positive,Moon
4,2019-04-09,09:08:00,0%,1%,Mars,2,Applying,Positive,Moon
3,2018-10-18,11:20:00,1%,0%,Mars,3,Applying,Positive,Moon
4,2018-10-15,11:36:00,0.75%,0.25%,Saturn,1,Applying,Positive,Moon
1,2018-10-15,08:50:00,1%,0%,Saturn,2,Seperating,Positive,Moon
2,2018-10-22,08:12:00,0.14285714285714285%,0.8571428571428571%,Chiron,1,Applying,Positive,Moon
2,2018-10-16,12:29:00,0.75%,0.25%,Pluto,1,Applying,Positive,Moon
2,2019-02-02,12:15:00,0.625%,0.375%,Saturn,0,Applying,Positive,Moon
2,2019-04-02,11:47:00,0.9375%,0.0625%,Venus,0,Applying,Positive,Moon
2,2019-04-04,11:38:00,0%,1%,Chiron,1,Applying,Positive,Moon
2,2019-04-05,11:50:00,0.9166666666666666%,0.08333333333333333%,Sun,1,Applying,Positive,Moon
2,2018-04-09,10:15:00,0%,1%,Mars,2,Applying,Positive,Moon
3,2018-11-06,09:46:00,0.875%,0.25%,Venus,2,Applying,Positive,Moon
3,2018-11-06,09:46:00,0.875%,0.25%,Ceres,2,Applying,Positive,Moon
3,2018-11-16,09:54:00,1%,0%,Mars,0,Applying,Positive,Moon
3,2019-01-03,08:35:00,0%,1%,Jupiter,2,Applying,Positive,Moon
3,2019-02-02,08:55:00,0.4375%,0.5625%,Saturn,1,Applying,Positive,Moon
3,2019-02-07,08:15:00,0.5%,0.5%,Neptune,3,Applying,Positive,Moon
3,2019-04-02,09:02:00,0.5%,0.5%,Venus,1,Applying,Positive,Moon
3,2019-04-03,08:35:00,0.9375%,0.0625%,Mercury,0,Seperating,Positive,Moon
3,2019-04-03,08:35:00,0.9375%,0.0625%,Neptune,0,Seperating,Positive,Moon
3,2019-04-09,08:45:00,0.125%,0.875%,Mars,2,Applying,Positive,Moon
2,2019-04-30,10:35:00,1%,0%,Neptune,2,Applying,Positive,Moon
