name_id,date,time,correct,displaced,degree,degree_type,symbol,body,body1
1,2019-12-25,10:55:00,0.5625%,0.4375%,7,Seperating,90,Mercury,Neptune
1,2020-01-02,12:35:00,0.7142857142857143%,0.2857142857142857%,5,Seperating,90,Chiron,Jupiter
1,2020-01-02,12:35:00,0.7142857142857143%,0.2857142857142857%,4,Seperating,90,Chiron,Mercury
1,2020-01-02,12:35:00,0.7142857142857143%,0.2857142857142857%,9,Seperating,90,Chiron,Sun
1,2020-01-04,19:00:00,0%,1%,10,Applying,90,Uranus,Saturn
1,2020-01-04,19:00:00,0%,1%,10,Applying,90,Uranus,Pluto
1,2020-01-20,08:25:00,1%,0%,5,Applying,90,Mars,Neptune
1,2020-01-22,10:20:00,0.5%,0.5%,9,Seperating,90,Jupiter,Chiron
1,2020-02-01,11:30:00,0.4%,0.6%,7,Applying,90,Uranus,Saturn
1,2020-02-01,11:30:00,0.4%,0.6%,9,Applying,90,Uranus,Pluto
1,2020-04-23,08:00:00,0%,1%,6,Seperating,90,Sun,Jupiter
1,2020-04-23,08:00:00,0%,1%,8,Seperating,90,Sun,Pluto
2,2020-04-23,08:00:00,0%,1%,6,Seperating,90,Sun,Jupiter
2,2020-04-23,08:00:00,0%,1%,8,Seperating,90,Sun,Pluto
4,2020-04-23,08:00:00,0%,1%,6,Seperating,90,Sun,Jupiter
4,2020-04-23,08:00:00,0%,1%,8,Seperating,90,Sun,Pluto
3,2020-04-23,08:00:00,0.6666666666666666%,0.3333333333333333%,6,Seperating,90,Sun,Jupiter
3,2020-04-23,08:00:00,0.6666666666666666%,0.3333333333333333%,8,Seperating,90,Sun,Pluto
3,2020-05-15,06:35:00,1%,0%,6,Applying,90,Mars,Sun
3,2020-05-15,06:35:00,1%,0%,5,Seperating,90,Mars,Mercury
1,2020-05-15,06:35:00,1%,0%,6,Applying,90,Mars,Sun
1,2020-05-15,06:35:00,1%,0%,5,Seperating,90,Mars,Mercury
4,2020-05-15,06:35:00,1%,0%,6,Applying,90,Mars,Sun
4,2020-05-15,06:35:00,1%,0%,5,Seperating,90,Mars,Mercury
2,2020-05-15,06:35:00,1%,0%,6,Applying,90,Mars,Sun
2,2020-05-15,06:35:00,1%,0%,5,Seperating,90,Mars,Mercury
1,2020-05-20,10:25:00,1%,0%,6,Seperating,90,Uranus,Saturn
2,2020-05-20,10:25:00,0.8333333333333334%,0.16666666666666666%,6,Seperating,90,Uranus,Saturn
4,2020-05-20,10:25:00,1%,0%,6,Seperating,90,Uranus,Saturn
3,2020-05-20,10:25:00,1%,0%,6,Seperating,90,Uranus,Saturn
3,2020-05-22,09:25:00,1%,0%,4,Applying,90,Sun,Mars
3,2020-05-22,09:25:00,1%,0%,5,Applying,90,Sun,Ceres
4,2020-05-22,09:25:00,1%,0%,4,Applying,90,Sun,Mars
4,2020-05-22,09:25:00,1%,0%,5,Seperating,90,Sun,Ceres
2,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,4,Applying,90,Sun,Mars
2,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,5,Applying,90,Sun,Ceres
1,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,4,Applying,90,Sun,Mars
1,2020-05-22,09:25:00,0.8333333333333334%,0.16666666666666666%,5,Applying,90,Sun,Ceres
2,2020-06-12,11:00:00,0.75%,0.25%,10,Seperating,90,Ceres,Sun
4,2020-06-12,11:00:00,0.875%,0.125%,10,Seperating,90,Ceres,Sun
3,2020-06-12,11:00:00,1%,0%,10,Seperating,90,Ceres,Sun
1,2020-06-12,11:00:00,0.9166666666666666%,0.08333333333333333%,10,Seperating,90,Ceres,Sun
3,2020-06-17,08:40:00,1%,0%,8,Seperating,90,Uranus,Saturn
2,2020-06-17,08:40:00,0.6666666666666666%,0.5%,8,Seperating,90,Uranus,Moon
1,2020-06-17,08:40:00,0.6875%,0.3125%,8,Seperating,90,Uranus,Saturn
4,2020-06-17,08:40:00,0.5%,0.5%,8,Seperating,90,Uranus,Saturn
1,2020-06-19,10:35:00,0.3333333333333333%,0.6666666666666666%,5,Seperating,90,Venus,Ceres
4,2020-06-18,10:35:00,0.5%,0.5%,5,Seperating,90,Venus,Ceres
3,2020-06-19,10:35:00,0.8333333333333334%,0.16666666666666666%,5,Seperating,90,Venus,Ceres
2,2020-06-19,10:35:00,1%,0%,5,Seperating,90,Venus,Ceres
3,2020-07-17,08:55:00,1%,0%,7,Applying,90,Venus,Neptune
2,2020-07-17,08:55:00,0.9166666666666666%,0.08333333333333333%,7,Applying,90,Venus,Neptune
1,2020-07-17,08:55:00,1%,0%,7,Applying,90,Venus,Neptune
4,2020-07-17,10:45:00,0.75%,0.25%,7,Applying,90,Venus,Neptune
4,2020-07-17,08:55:00,1%,0%,7,Applying,90,Venus,Neptune
1,2020-07-19,10:45:00,0%,1%,4,Applying,90,Mercury,Mars
2,2020-07-19,10:45:00,0%,1%,4,Applying,90,Mercury,Mars
3,2020-07-19,10:45:00,1%,0%,4,Applying,90,Mercury,Mars
4,2020-07-17,10:45:00,0.75%,0.25%,4,Applying,90,Mercury,Mars
4,2020-07-17,08:55:00,1%,0%,4,Applying,90,Mercury,Mars
1,2020-08-01,10:40:00,1%,0%,10,Applying,90,Jupiter,Chiron
2,2020-08-01,22:40:00,1%,0%,10,Applying,90,Jupiter,Chiron
3,2020-08-01,10:40:00,1%,0%,10,Applying,90,Jupiter,Chiron
4,2020-08-01,10:40:00,1%,0%,10,Applying,90,Jupiter,Chiron
