time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon,north_node,south_node
A.D. 2020-Aug-02 12:20:00.0000 UTC,297.1760086,315.9496564,43.23387168,120.848951,115.4853476,9.80254943,76.03497234,119.0438356,95.96774139,286.5817762,117.7188794,87.7500188,267.7500188
A.D. 2020-Aug-03 12:20:00.0000 UTC,296.5906554,316.0659796,43.80462342,121.4539971,116.0108358,11.17948475,76.6464346,119.5603378,96.53138696,286.3552972,110.1039559,87.7206453,267.7206453
A.D. 2020-Aug-04 12:20:00.0000 UTC,295.9494408,316.1699266,44.3748073,122.066815,116.5425336,12.54760461,77.24761489,120.0836234,97.09164213,286.125872,102.212846,87.6541454,267.6541454
A.D. 2020-Aug-05 12:20:00.0000 UTC,295.2554298,316.2615731,44.94461868,122.6875762,117.0806283,13.90586846,77.83904977,120.6138726,97.6488409,285.8935683,93.66280285,87.5494198,267.5494198
A.D. 2020-Aug-06 12:20:00.0000 UTC,294.5120571,316.3410051,45.51425223,123.3164509,117.6253087,15.2532896,78.42125111,121.151268,98.20330079,285.6584531,84.04553958,87.4133821,267.4133821
A.D. 2020-Aug-07 12:20:00.0000 UTC,293.7230621,316.4083179,46.08390021,123.9536084,118.1767661,16.58893917,78.99470799,121.6959947,98.7553242,285.4205931,72.92965159,87.2600775,267.2600775
A.D. 2020-Aug-08 12:20:00.0000 UTC,292.8924121,316.4636159,46.65375102,124.5992168,118.7351938,17.91194909,79.55988829,122.2482407,99.30519958,285.1800545,59.94591221,87.1078755,267.1078755
A.D. 2020-Aug-09 12:20:00.0000 UTC,292.0242171,316.5070109,47.22398828,125.2534431,119.3007875,19.2215147,80.11724033,122.8081967,99.85320262,284.9369043,45.01634784,86.9752115,266.9752115
A.D. 2020-Aug-10 12:20:00.0000 UTC,291.1226435,316.5386221,47.79478992,125.9164523,119.8737455,20.51689625,80.66719416,123.3760563,100.3995972,284.6912091,28.6695908,86.8760903,266.8760903
A.D. 2020-Aug-11 12:20:00.0000 UTC,290.1918307,316.5585743,48.36632744,126.5884073,120.4542679,21.79741974,81.21016269,123.9520155,100.9446363,284.4430359,12.07614967,86.8164646,266.8164646
A.D. 2020-Aug-12 12:20:00.0000 UTC,289.2358176,316.5669981,48.93876561,127.2694684,121.042557,23.06247747,81.74654296,124.5362727,101.4885624,284.1924517,356.4933985,86.7928501,266.7928501
A.D. 2020-Aug-13 12:20:00.0000 UTC,288.2584809,316.5640292,49.51226197,127.9597927,121.638817,24.31152797,82.27671719,125.1290284,102.031609,283.9395238,342.6128122,86.7931757,266.7931757
A.D. 2020-Aug-14 12:20:00.0000 UTC,287.2634879,316.5498079,50.08696615,128.6595337,122.2432539,25.54409544,82.80105392,125.7304852,102.5740002,283.6843202,330.4614545,86.7996569,266.7996569
A.D. 2020-Aug-15 12:20:00.0000 UTC,286.254264,316.5244794,50.66301872,129.3688404,122.856075,26.75976868,83.31990899,126.3408473,103.115952,283.4269097,319.6943585,86.7927171,266.7927171
A.D. 2020-Aug-16 12:20:00.0000 UTC,285.2339722,316.4881922,51.2405489,130.0878568,123.4774885,27.95819898,83.83362608,126.9603201,103.6576721,283.1673619,309.8572117,86.7549923,266.7549923
A.D. 2020-Aug-17 12:20:00.0000 UTC,284.2055008,316.4410976,51.81967221,130.8167203,124.1077028,29.13909814,84.34253734,127.5891091,104.1993598,282.9057476,300.4995303,86.6746193,266.6746193
A.D. 2020-Aug-18 12:20:00.0000 UTC,283.171474,316.3833478,52.40048776,131.5555616,124.746926,30.30223626,84.84696372,128.2274196,104.7412063,282.6421382,291.1909651,86.5472844,266.5472844
A.D. 2020-Aug-19 12:20:00.0000 UTC,282.1342714,316.3150947,52.98307521,132.3045037,125.3953651,31.44743841,85.34721491,128.8754563,105.2833946,282.3766052,281.4973282,86.3768056,266.3768056
A.D. 2020-Aug-20 12:20:00.0000 UTC,281.0960164,316.2364867,53.56749269,133.0636613,126.0532261,32.57458084,85.84358933,129.533422,105.8260995,282.1092186,270.9473777,86.1742827,266.1742827
A.D. 2020-Aug-21 12:20:00.0000 UTC,280.0586017,316.1476684,54.15377728,133.8331421,126.7207142,33.68358778,86.3363749,130.2015188,106.3694889,281.8400469,259.0171552,85.9560594,265.9560594
A.D. 2020-Aug-22 12:20:00.0000 UTC,279.0237129,316.0487795,54.74194839,134.613047,127.398035,34.77442869,86.82585058,130.8799488,106.913726,281.569156,245.1861971,85.7408891,265.7408891
A.D. 2020-Aug-23 12:20:00.0000 UTC,277.9928472,315.9399545,55.33201267,135.403471,128.0853954,35.84711532,87.31228796,131.5689139,107.4589717,281.296609,229.1660838,85.5467889,265.5467889
A.D. 2020-Aug-24 12:20:00.0000 UTC,276.9673321,315.8213228,55.92397015,136.2045022,128.7830029,36.90169932,87.79595296,132.2686163,108.0053866,281.0224659,211.3331963,85.3880841,265.3880841
A.D. 2020-Aug-25 12:20:00.0000 UTC,275.9483436,315.6930091,56.51781964,137.016221,129.4910655,37.93826985,88.27710686,132.9792574,108.5531318,280.7467828,192.9731105,85.273092,265.273092
A.D. 2020-Aug-26 12:20:00.0000 UTC,274.9369232,315.5551344,57.11356258,137.8386984,130.2097902,38.95695085,88.75600673,133.7010362,109.1023692,280.469612,175.6979233,85.2027737,265.2027737
A.D. 2020-Aug-27 12:20:00.0000 UTC,273.9339927,315.4078158,57.71120504,138.6719937,130.9393813,39.95789795,89.23290532,134.4341481,109.6532604,280.1910011,160.4778527,85.1705312,265.1705312
A.D. 2020-Aug-28 12:20:00.0000 UTC,272.9403688,315.2511678,58.31075841,139.5161535,131.6800393,40.94129539,89.70805098,135.1787837,110.2059668,279.9109929,147.4018518,85.1631836,265.1631836
A.D. 2020-Aug-29 12:20:00.0000 UTC,271.9567755,315.085303,58.91223922,140.3712097,132.4319601,41.90735302,90.18168757,135.9351276,110.7606477,279.6296259,136.0770968,85.1630382,265.1630382
A.D. 2020-Aug-30 12:20:00.0000 UTC,270.9838564,314.9103326,59.51566808,141.2371789,133.1953332,42.85630296,90.65405439,136.7033571,111.3174606,279.3469342,126.0035121,85.1508537,265.1508537
A.D. 2020-Aug-31 12:20:00.0000 UTC,270.0221849,314.7263676,60.12106853,142.1140605,133.9703417,43.78839689,91.12538649,137.483642,111.8765599,279.0629478,116.7304097,85.1093603,265.1093603
A.D. 2020-Sep-01 12:20:00.0000 UTC,269.0722749,314.5335191,60.72846594,143.0018373,134.7571616,44.70390364,91.59591514,138.2761435,112.4380977,278.7776942,107.8841119,85.0268171,265.0268171
A.D. 2020-Sep-02 12:20:00.0000 UTC,268.1345893,314.331899,61.33788586,143.9004735,135.5559605,45.60310661,92.06586832,139.0810138,113.0022228,278.4911979,99.15132694,84.8999067,264.8999067
A.D. 2020-Sep-03 12:20:00.0000 UTC,267.209549,314.1216204,61.94935252,144.8099147,136.3668976,46.48630145,92.53547121,139.898395,113.5690814,278.2034822,90.25493877,84.7351453,264.7351453
