time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2019-Dec-17 12:20:00.0000 UTC,-25.99938113705457,13.163446022997823,-45.5733141785014,-7.007691871222982,7.812767273140764,56.82758409412156,54.305067316800596,9.484759099482778,-0.6585587309895152
A.D. 2019-Dec-18 12:20:00.0000 UTC,-25.57333648073658,13.542593179312407,-45.92531497385028,-7.610160214690307,7.1506934736601275,57.653431785598634,53.99460248810557,8.761457053494977,-1.0690696629582295
A.D. 2019-Dec-19 12:20:00.0000 UTC,-25.13185610816167,13.925119841387371,-46.27452405378746,-8.213588869402557,6.4860336763466035,58.47283230437944,53.662712387728824,8.034492101308071,-1.4799359258569786
A.D. 2019-Dec-20 12:20:00.0000 UTC,-24.67537966577575,14.310868282654406,-46.620935631474715,-8.81797358180854,5.818851525606491,59.28528537924903,53.310023309631646,7.303966665460894,-1.891172110786917
A.D. 2019-Dec-21 12:20:00.0000 UTC,-24.20429546895501,14.699677360313135,-46.96454715304588,-9.423312166639302,5.149207221394376,60.090244707274536,52.93717334116416,6.5699791529594345,-2.3027948510236373
A.D. 2019-Dec-22 12:20:00.0000 UTC,-23.71894612890699,15.091381965653877,-47.30535892963223,-10.029604605321119,4.477157268953911,60.88711244086352,52.54480758539276,5.83262372943098,-2.7148231328551793
A.D. 2019-Dec-23 12:20:00.0000 UTC,-23.219633238109935,15.485812813595473,-47.643373606665925,-10.636852800492507,3.8027544413301073,61.675232999318,52.13357389016859,5.091990284657584,-3.1272783441276992
A.D. 2019-Dec-24 12:20:00.0000 UTC,-22.70662098934793,15.882796855946609,-47.97859529996639,-11.2450594822118,3.1260482018676705,62.4538860689239,51.70411935583888,4.348164836472514,-3.5401838132253314
A.D. 2019-Dec-25 12:20:00.0000 UTC,-22.180139136975786,16.282158104599215,-48.31102876508811,-11.854225339759068,2.447085319709698,63.22227912711632,51.2570875510668,3.6012301126246276,-3.953564103591998
A.D. 2019-Dec-26 12:20:00.0000 UTC,-21.640385556276325,16.683718710521905,-48.64067876519344,-12.464335488397623,1.7659105239764996,63.979539594723114,50.793116299580646,2.8512661615202215,-4.367444230979694
A.D. 2019-Dec-27 12:20:00.0000 UTC,-21.087528771681146,17.087299970262993,-48.967549870917,-13.075086153165136,1.082566917638789,64.7247067323263,50.31283573691659,2.0983507204307243,-4.781849102995481
A.D. 2019-Dec-28 12:20:00.0000 UTC,-20.521710386144598,17.49272326343978,-49.29164644614168,-13.68786581004646,0.39709627516086254,65.45672298609372,49.81686655859472,1.342559469616158,-5.19680309059256
A.D. 2019-Dec-29 12:20:00.0000 UTC,-19.943047464575262,17.899810822043655,-49.6129727215419,-14.300895440339328,-0.29046076365834583,66.17442470632075,49.30581838275862,0.5839661910563827,-5.612329744043156
A.D. 2019-Dec-30 12:20:00.0000 UTC,-19.35163509960971,18.308386110835126,-49.9315330997758,-14.914984584023458,-0.9800647690904462,66.87653249038793,48.780288098891596,-0.1773573275141797,-6.028451827831856
A.D. 2019-Dec-31 12:20:00.0000 UTC,-18.74754896696634,18.71827400311104,-50.24733245181596,-15.53009075732329,-1.6716776481676754,67.56164122700638,48.24085836236976,-0.9413414260326776,-6.445191453769229
A.D. 2020-Jan-01 12:20:00.0000 UTC,-18.130847785901196,19.12930087351792,-50.56037630635292,-16.146211275513732,-2.3652627170313987,68.2282101965937,47.68809634437434,-1.7079186400322648,-6.862570194824892
A.D. 2020-Jan-02 12:20:00.0000 UTC,-17.501575791635346,19.541294602279578,-50.8706710112277,-16.763349469701257,-3.0607847769520995,68.87455387156,47.122552716636086,-2.4770237648248203,-7.280609217586086
A.D. 2020-Jan-03 12:20:00.0000 UTC,-16.859764896902437,19.954084696243633,-51.178223691687734,-17.38151039617545,-3.758210026022058,69.49883403472553,46.54476098525075,-3.2485937544968286,-7.69932925408606
A.D. 2020-Jan-04 12:20:00.0000 UTC,-16.205437090826234,20.36750248936683,-51.4830421102651,-18.000699721175398,-4.457505899755543,70.09905425592902,45.95523708857814,-4.02256755322237,-8.118750494082805
A.D. 2020-Jan-05 12:20:00.0000 UTC,-15.538607119881224,20.78138095113104,-51.78513503711861,-18.620923779166958,-5.158641404032506,70.67305830229206,45.354478791532514,-4.798886423143479,-8.53889294408094
