sun,moon
250.4417527455866,76.95947421862165
250.47796410658654,70.7691851631175
250.52163331077787,65.07875724131037
250.57274337609806,59.32874457599674
250.63127594465436,52.91535853909993
250.69721068230243,44.966798071122106
250.77052471668344,33.958694892645894
250.85119244082813,17.137029046700743
250.93918537960016,351.36793810305744
251.03447212854516,320.7537421021371
251.13701841623597,296.77551396415106
251.24678724699947,281.5788263720299
251.36373885366118,271.81592735449925
251.4878305232349,265.013512803532
251.61901686603795,259.8582425212221
251.7572497754696,255.6418703562781
251.90247850450515,251.94080863875897
252.05464973410432,248.4578307320588
252.21370724848657,244.93170269230103
252.37959189598087,241.0611058199465
252.55224152998252,236.3950450320661
252.73159071592772,230.09682992763274
252.91757038346324,220.30928215038904
253.11010756622272,202.35873168371947
253.30912499919765,167.61436078988095
253.5145408304924,126.89023276381835
253.72626842408656,103.39077977060836
253.94421632090658,91.31594345162037
254.16828900138748,84.09554524222273
254.3983880945582,79.0753786535813
254.63441386009737,75.11689999770113
254.87626615230965,71.62557878898276
255.12384453177043,68.19385879873273
255.37704807328578,64.42089326442303
255.6357748483768,59.73351190388336
255.89992153348015,53.02736244734625
256.1693833802252,41.62964395776431
256.4440542753068,18.251258661388047
256.7238269246553,334.58634008392767
257.00859302843065,298.4199844120402
257.2982431927412,281.3265797175304
257.59266695894706,272.59484392578116
257.891753045625,267.3161058980535
258.1953894360005,263.6797324655549
258.5034633871424,260.90665228251993
258.81586152120076,258.59850926092156
259.1324698409482,256.50947294474344
259.45317366976684,254.44626106329954
259.7778575009918,252.20249181334546
260.10640473257786,249.47634191592792
260.4386973141063,245.6882613865628
260.7746153135233,239.40265836988868
261.1140365807351,225.7939946693159
261.45683656103137,184.36267236109836
261.8028881470411,122.94035919922653
262.1520618003213,100.75957991118493
262.50422613824503,92.18395235546915
262.8592488183661,87.62747847098746
263.21699743973323,84.66433734442022
263.57734025869684,82.43481622860917
263.9401466890311,80.53602803581914
264.3052871337596,78.71614331751648
264.67263222560973,76.74948202912651
265.04205248377485,74.3368888129183
265.41341824096565,70.92580287341197
265.78659948945,65.16378932335456
266.16146624488556,52.49906912863626
266.5378887679772,12.483015054933542
266.91573743711297,308.52001418414665
267.294882888133,285.99454882126
267.67519613056106,277.6777675037211
268.0565486332412,273.4347150035915
268.4388124251809,270.8034787508883
268.821860163296,268.9380899232804
269.20556526703825,267.46215309017487
269.5898019806023,266.1660776488822
269.9744452400276,264.8983215356105
270.3593704268023,263.5065295027443
270.7444530004915,261.7740577962486
271.1295679800466,259.2847871703387
271.5145894537927,254.9791484173494
271.89939026389516,244.9474548250536
272.28384191089776,203.6159604868797
272.6678147761065,124.17300788211789
273.05117873664653,105.03962491788491
273.433803501158,98.70013806419888
273.8155600996992,95.50286799596762
274.1963211245574,93.47893265378544
274.5759604661721,91.97625868548819
274.95435378301613,90.6991264157537
275.33137804871706,89.46764323632534
275.7069110586099,88.12684025058049
276.08083123509863,86.48323729163745
276.45301754255007,84.2066010838251
276.8233495024537,80.56862213655945
277.19170735123816,73.44822533654555
277.5579722638966,53.64181604013383
277.92202646897766,345.98495772599546
278.2837533280986,302.0378793611414
278.6430374364206,289.8134488400933
278.99976464259316,284.56195293847856
279.3538222402088,281.57616254331367
279.70509927610385,279.5483663635507
280.0534866570509,277.96693939961676
280.3988772237616,276.57039543995285
280.7411658194506,275.1799839945574
281.08024889985376,273.6210259216008
281.4160236616225,271.64752110529645
281.7483871899144,268.78994666005184
282.07723606298646,263.8697622266429
282.40246623053497,252.7116413984421
282.7239732662867,212.25035013576354
283.0416529907583,139.63130522975493
283.3554021584103,118.35489990561139
283.66511921937445,110.91786108065034
283.97070467062036,107.06091138811837
284.2720611667454,104.54457876811338
284.5690935299141,102.6151701145093
284.86170861667927,100.92928350522722
285.14981491620944,99.27924233374819
285.43332229497366,97.49087751582147
285.71214210075743,95.35844799202572
285.98618715052504,92.55877874903821
286.2553717607853,88.4591121763101
286.5196119386733,81.53727602273217
286.77882561903107,67.16492771830382
287.0329327333592,30.259084275683694
287.28185527319556,336.757242212163
287.5255175488394,312.0282027824323
287.76384647514664,301.61083468999925
287.9967717203475,295.9234344036876
288.22422600311853,292.13785803671567
288.4461456469017,289.2073311798629
288.66247068537064,286.6309424152565
288.8731445831667,284.0894748847353
289.0781135950699,281.2915939184521
289.27732559798284,277.8495540715658
289.47072916386213,273.0615189608314
289.6582728984513,265.30331814746927
289.83990557449897,249.84843994997217
290.01557680067947,213.06286502862216
290.18523772984577,162.8003901770142
290.34884187121713,138.02436147102387
290.5063454718631,126.95548960453013
290.6577075203831,120.69806616020101
290.80288962872345,116.42821681603887
290.94185598917835,113.07373975893961
291.0745733283006,110.12478359557431
291.2010106432387,107.27464664548515
291.3211390057627,104.27963019000842
291.434931682963,100.87732589695878
291.5423643705543,96.69976207121495
291.64341523495887,91.11995084951383
291.7380650536934,82.90374118265758
291.8262973989398,69.37931857014256
291.9080988140431,45.37877096483243
291.98345894904264,10.027814901743222
292.0523707914887,340.19686178817625
292.11483102546157,322.73634242668857
292.17084038988406,312.32862615683695
292.2204043432593,305.2640980910991
292.2635335289094,299.80379921006806
292.30024383345835,295.0631627132935
292.33055602050746,290.4879613321636
292.3544946366376,285.60759242868977
292.37208640575443,279.8578206309112
292.38335881739033,272.3407319430172
292.3883396243475,261.3480393636558
292.38705712041,243.51347786578003
292.3795408672637,214.83789594414682
292.3658224272231,181.7375769274033
292.3459356363025,157.99551126639778
292.31991661242614,143.6308971162095
292.2878036723095,134.34139105953642
292.2496372223754,127.61393951936206
292.20545955430913,122.20531273422547
292.15531479275074,117.44915252013313
292.0992487811955,112.92975335391756
292.0373089634796,108.32873184777954
291.96954463007404,103.33561029643747
291.896006870562,97.57045901615945
291.8167485255656,90.48366982488142
291.7318244019031,81.20042412131427
291.641291412037,68.32444839823366
291.545208755271,50.08558534050748
291.4436380669031,26.31782576529775
291.3366437724201,1.6970769109983188
291.22429351128335,341.8026536414
291.1066585848158,327.3632872042959
290.9838146455825,316.6630135385684
290.85584218677155,308.12753777845415
290.72282661088883,300.70388786542355
290.5848574528826,293.66484888683084
290.4420266385486,286.41066036498347
290.29442659590285,278.3113127808593
290.1421488620186,268.55353929153085
289.98528357042596,255.99476164082088
289.82391965792795,239.2492807940208
289.65814522451825,217.83323104133675
289.4880477671722,194.48170940991957
289.31371417195027,173.9358966032738
289.13523057040186,158.1586735166202
288.95268222197507,146.31596137758004
288.76615343347805,137.06231149697913
288.5757275045021,129.38236168285013
288.38148666880744,122.59930674125869
288.18351195486184,116.2467232374454
