name_id,date,time,correct,displaced,bracketed,body_bracket,first_condition,degree,degree_type,energy,conditionbody
4,2019-12-27,12:45:00,1%,0%,YES,Ceres,Ceres,1,Seperating,Negative,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Venus,Chiron,3,Applying,Positive,Moon
4,2020-01-29,15:15:00,1%,0%,YES,Neptune,Chiron,3,Applying,Positive,Moon
1,2019-11-25,09:05:00,1%,0%,YES,Mars,Mercury,0,Applying,Positive,Moon
1,2019-12-27,12:45:00,1%,0%,YES,Ceres,Ceres,1,Seperating,Negative,Moon
1,2019-12-27,12:45:00,1%,0%,YES,Ceres,Saturn,2,Applying,Positive,Moon
1,2020-01-29,15:15:00,1%,0%,YES,Venus,Chiron,3,Applying,Positive,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Mercury,Pluto,3,Seperating,Negative,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Mercury,Jupiter,2,Seperating,Negative,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Mercury,Saturn,2,Applying,Positive,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Pluto,Pluto,3,Seperating,Negative,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Pluto,Jupiter,2,Seperating,Negative,Moon
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Pluto,Saturn,2,Applying,Positive,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Pluto,3,Seperating,Negative,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Jupiter,2,Seperating,Negative,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Saturn,2,Applying,Positive,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Pluto,Pluto,3,Seperating,Negative,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Pluto,Jupiter,2,Seperating,Negative,Moon
2,2020-04-15,10:45:00,0%,1%,YES,Pluto,Saturn,2,Applying,Positive,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Pluto,3,Seperating,Negative,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Jupiter,2,Seperating,Negative,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Saturn,2,Applying,Positive,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Pluto,Pluto,3,Seperating,Negative,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Pluto,Jupiter,2,Seperating,Negative,Moon
4,2020-04-15,10:45:00,0%,1%,YES,Pluto,Saturn,2,Applying,Positive,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Pluto,3,Seperating,Negative,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Jupiter,2,Seperating,Negative,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Jupiter,Saturn,2,Applying,Positive,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Pluto,Pluto,3,Seperating,Negative,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Pluto,Jupiter,2,Seperating,Negative,Moon
3,2020-04-15,10:45:00,0%,1%,YES,Pluto,Saturn,2,Applying,Positive,Moon
3,2020-04-16,08:25:00,1%,0%,YES,Saturn,Mars,1,Applying,Positive,Moon
1,2020-04-16,08:25:00,0.625%,0.375%,YES,Saturn,Mars,1,Applying,Positive,Moon
2,2020-04-16,08:25:00,1%,0%,YES,Saturn,Mars,1,Applying,Positive,Moon
4,2020-04-16,08:25:00,0.5%,0.5%,YES,Saturn,Mars,1,Applying,Positive,Moon
1,2020-04-21,11:00:00,1%,0%,YES,Chiron,Chiron,3,Seperating,Negative,Moon
3,2020-04-21,11:00:00,1%,0%,YES,Chiron,Chiron,3,Seperating,Negative,Moon
4,2020-04-21,11:00:00,1%,0%,YES,Chiron,Chiron,3,Seperating,Negative,Moon
2,2020-04-21,11:00:00,0.08333333333333333%,0.9166666666666666%,YES,Chiron,Chiron,3,Seperating,Negative,Moon
4,2020-05-23,13:05:00,0.875%,0.125%,YES,Sun,Venus,0,Applying,Positive,Moon
