name_id,date,time,correct,displaced,bracketed,body_bracket,degree,degree_type,symbol,body,body1
2,2020-03-21,09:50:00,1%,0%,YES,Ceres,9,Applying,60,Mercury,Uranus
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Mercury,5,Seperating,60,Saturn,Chiron
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Mercury,5,Seperating,60,Saturn,Mercury
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Pluto,5,Seperating,60,Saturn,Chiron
1,2020-04-15,10:45:00,0.16666666666666666%,0.8333333333333334%,YES,Pluto,5,Seperating,60,Saturn,Mercury
2,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Chiron
2,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Mercury
2,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Chiron
2,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Mercury
4,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Chiron
4,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Mercury
4,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Chiron
4,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Mercury
3,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Chiron
3,2020-04-15,10:45:00,0%,1%,YES,Jupiter,5,Seperating,60,Saturn,Mercury
3,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Chiron
3,2020-04-15,10:45:00,0%,1%,YES,Pluto,5,Seperating,60,Saturn,Mercury
3,2020-04-16,08:25:00,1%,0%,YES,Saturn,4,Seperating,60,Mars,Chiron
1,2020-04-16,08:25:00,0.625%,0.375%,YES,Saturn,4,Seperating,60,Mars,Chiron
2,2020-04-16,08:25:00,1%,0%,YES,Saturn,4,Seperating,60,Mars,Chiron
4,2020-04-16,08:25:00,0.5%,0.5%,YES,Saturn,4,Seperating,60,Mars,Chiron
1,2020-04-17,08:15:00,0.9375%,0.0625%,YES,Mars,8,Applying,60,Ceres,Uranus
3,2020-04-17,08:15:00,1%,0%,YES,Mars,8,Applying,60,Ceres,Uranus
2,2020-04-17,08:15:00,1%,0%,YES,Mars,8,Applying,60,Ceres,Uranus
4,2020-04-17,08:15:00,1%,0%,YES,Mars,8,Applying,60,Ceres,Uranus
